Connected
         12897911 function calls (12747062 primitive calls) in 105.288 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.018    0.018 Channel.py:1(<module>)
     4226    0.024    0.000    0.024    0.000 Channel.py:16(collect_incoming_data)
      933    0.009    0.000    3.651    0.004 Channel.py:19(found_terminator)
     8854    0.020    0.000    0.024    0.000 Channel.py:28(Pump)
       60    0.000    0.000    0.002    0.000 Channel.py:32(Send)
        1    0.000    0.000    0.000    0.000 Channel.py:38(handle_connect)
        1    0.000    0.000    0.000    0.000 Channel.py:6(Channel)
        1    0.000    0.000    0.000    0.000 Channel.py:8(__init__)
        1    0.000    0.000    0.000    0.000 Connection.py:15(ConnectionListener)
        1    0.000    0.000    0.003    0.003 Connection.py:22(Connect)
     8855    0.012    0.000    0.071    0.000 Connection.py:27(Pump)
        1    0.003    0.003    0.025    0.025 Connection.py:9(<module>)
        1    0.000    0.000    0.000    0.000 EndPoint.py:12(__init__)
        1    0.001    0.001    0.022    0.022 EndPoint.py:2(<module>)
        1    0.000    0.000    0.003    0.003 EndPoint.py:21(DoConnect)
     8855    0.003    0.000    0.003    0.000 EndPoint.py:34(GetQueue)
     8854    0.043    0.000    4.187    0.000 EndPoint.py:37(Pump)
        1    0.000    0.000    0.000    0.000 EndPoint.py:49(Connected)
        1    0.000    0.000    0.000    0.000 EndPoint.py:52(Network_connected)
      933    0.001    0.000    0.001    0.000 EndPoint.py:55(Network)
        1    0.000    0.000    0.000    0.000 EndPoint.py:8(EndPoint)
        1    0.001    0.001    0.003    0.003 Queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 Queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 Queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:231(LifoQueue)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:152(WorkerQueue)
        1    0.001    0.001    0.001    0.001 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:210(FuncResult)
        1    0.010    0.010    0.018    0.018 __init__.py:25(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:55(MissingModule)
        2    0.000    0.000    0.000    0.000 __init__.py:57(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        2    0.001    0.000    0.004    0.002 __init__.py:9(<module>)
        1    0.001    0.001    0.001    0.001 _numpysndarray.py:34(<module>)
        1    0.001    0.001    0.001    0.001 _numpysurfarray.py:45(<module>)
        1    0.001    0.001    0.001    0.001 async.py:1(<module>)
     3748    0.043    0.000    3.912    0.001 asynchat.py:107(handle_read)
        1    0.000    0.000    0.000    0.000 asynchat.py:173(handle_write)
       60    0.000    0.000    0.004    0.000 asynchat.py:179(push)
     8854    0.002    0.000    0.002    0.000 asynchat.py:192(readable)
     8854    0.009    0.000    0.009    0.000 asynchat.py:200(writable)
       61    0.001    0.000    0.004    0.000 asynchat.py:208(initiate_send)
        1    0.000    0.000    0.000    0.000 asynchat.py:254(simple_producer)
        1    0.000    0.000    0.000    0.000 asynchat.py:270(fifo)
     3293    0.013    0.000    0.018    0.000 asynchat.py:310(find_prefix_at_end)
        1    0.000    0.000    0.001    0.001 asynchat.py:47(<module>)
        1    0.000    0.000    0.000    0.000 asynchat.py:55(async_chat)
        1    0.000    0.000    0.000    0.000 asynchat.py:64(__init__)
        1    0.000    0.000    0.000    0.000 asynchat.py:95(set_terminator)
     4226    0.002    0.000    0.002    0.000 asynchat.py:99(get_terminator)
     8854    0.075    0.000    4.120    0.000 asyncore.py:125(poll)
        1    0.000    0.000    0.000    0.000 asyncore.py:223(dispatcher)
