Server launched
         4550494 function calls (4283388 primitive calls) in 3.531 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.017    0.017 Channel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Channel.py:6(Channel)
        1    0.001    0.001    0.003    0.003 Queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 Queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 Queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:231(LifoQueue)
        1    0.001    0.001    0.022    0.022 Server.py:1(<module>)
        1    0.000    0.000    0.003    0.003 Server.py:10(__init__)
   266049    0.175    0.000    1.668    0.000 Server.py:37(Pump)
        1    0.000    0.000    0.000    0.000 Server.py:7(Server)
   266049    0.062    0.000    0.082    0.000 UserDict.py:17(__len__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:152(WorkerQueue)
        1    0.001    0.001    0.001    0.001 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:210(FuncResult)
        1    0.010    0.010    0.018    0.018 __init__.py:25(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:55(MissingModule)
        2    0.000    0.000    0.000    0.000 __init__.py:57(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        2    0.001    0.000    0.004    0.002 __init__.py:9(<module>)
        1    0.001    0.001    0.001    0.001 _numpysndarray.py:34(<module>)
        1    0.001    0.001    0.001    0.001 _numpysurfarray.py:45(<module>)
        1    0.001    0.001    0.002    0.002 async.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asynchat.py:254(simple_producer)
        1    0.000    0.000    0.000    0.000 asynchat.py:270(fifo)
        1    0.001    0.001    0.001    0.001 asynchat.py:47(<module>)
        1    0.000    0.000    0.000    0.000 asynchat.py:55(async_chat)
   266049    0.739    0.000    1.493    0.000 asyncore.py:125(poll)
        1    0.000    0.000    0.000    0.000 asyncore.py:223(dispatcher)
        1    0.000    0.000    0.000    0.000 asyncore.py:232(__init__)
        1    0.000    0.000    0.000    0.000 asyncore.py:279(add_channel)
        1    0.000    0.000    0.000    0.000 asyncore.py:294(create_socket)
        1    0.000    0.000    0.000    0.000 asyncore.py:300(set_socket)
        1    0.000    0.000    0.000    0.000 asyncore.py:306(set_reuse_addr)
   266049    0.029    0.000    0.029    0.000 asyncore.py:323(readable)
   266049    0.024    0.000    0.024    0.000 asyncore.py:326(writable)
        1    0.000    0.000    0.000    0.000 asyncore.py:333(listen)
        1    0.000    0.000    0.002    0.002 asyncore.py:339(bind)
        1    0.000    0.000    0.000    0.000 asyncore.py:412(__getattr__)
        1    0.000    0.000    0.000    0.000 asyncore.py:47(<module>)
        1    0.000    0.000    0.000    0.000 asyncore.py:527(dispatcher_with_send)
        1    0.000    0.000    0.000    0.000 asyncore.py:76(ExitNow)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
        6    0.002    0.000    0.002    0.000 collections.py:237(namedtuple)
        1    0.000    0.000    0.000    0.000 collections.py:25(OrderedDict)
      244    0.000    0.000    0.000    0.000 collections.py:277(<genexpr>)
       30    0.000    0.000    0.000    0.000 collections.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:356(Counter)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
